id,document,label
17999562,난 재미있게봤는데 ㅋㅋㅋ 볼거리가 진짜 많음난 중국이 구한줄 알고 걱정했는데 중국어 3마디 끝이구만 뭐중국과 스토리가 관련도없고,1
17999559,그냥최고반전 굿굿꼭보세요,1
17999557,시종일간 꽉막히고 답답한 분위기의 압박에 다이애나의 심정이 이해갔다,1
17999556,진짜 3편다 완벽한영화는 반지의제왕밖에 없는듯 합니다..진짜 안보신분들 꼭 보세요ㅠㅠ,1
17999555,잘 만들었네 불 끄고 보세요,1
17999554,썸머 워즈가 생각나네요. 하지만 너무 좋았습니다.,1
17999553,진짜 인생영화인듯 ㅠㅠㅠㅠ 짱입니다ㅠㅠ,1
17999551,생산직 20년차 중소기업 현장관리직입니다.  사무직 일하는 친구들이 없어 몰랐는데 이영화 진짜 현실적인건가여 아님 현실인가여? 이게 지금 일어나는 일이라면 숨막혀 죽을거 같거나 그냥 돈 적게 받고 편한데 일하고 싶네여,1
17999550,진짜 이렇게 재밌는 영화 첨 봤어요 ㅠㅠㅠ인생영화♡♡,1
17999549,생각보다 재밌게 봤습니다,1
17999548,,1
17999547,행복하게 해주는 명품 영화,1
17999546,일본영화  좋아함 잼남  좋아,1
17999545,정말 오랜만에 재밋었어요..! 코로나만 아니면 흥행할꺼같아요 중간중간 슬펏어영 ㅠㅠ,1
17999543,고전 소설을 눈으로 읽는 기분.에리히 프롬의 사랑의 기술이란 책에 '사랑이란 결코 강렬한 감정만이 아니다. 그것은 결단이고 판단이고 약속이다' 라는 문장이  이 영화를 보여주는 것 같네요.어릴 땐 일생에 한 번 뿐일지도 모르는 운명의 상대를 선택할 용기가 없었던 아처와 엘렌이 보였는데 시간이 흘러 다시 보니 모든 것을 알면서 모른척 했던 메이의 사랑과 믿음이 보입니다.쇼팽의 음악이 흐르며 잔잔하게 흘러가는 드라마인데 오랫동안 잔상이 남는 영화입니다.,1
17999542,제가 본 영화중에 인생 영화로 꼽힐거 같아요 진짜 제가 고3이라 이런저런 생각이 너무 많은데 이 영화를 보고 영감을 받았어요 진짜 기억에 남을 영화 같아요 한번씩 꼭 보시길 추천드려요,1
17999541,인생에서 중요한게 무엇인가 어떻게 살아가야하는가에대한 고찰,1
17999540,처음에 잔인해서 무섭지만 전체적으로 재밌움 액션신 굿굿~,1
17999538,코믹스 구현을 가장 잘한듯한 배트맨. 앞으로가 기대된다,1
17999536,저는 너무나 많은생각을 하면서 봤어요.사상과 본성의 사이에서 인간이란 존재는  어쩐지  짠하고  애처롭지만 또한편으로는 굉장히 아름답다 생각이 들더군요.자전거 타고 몰래 외출해서 물가씬도 예쁘고 음악도 좋았어요.추천합니다.남자배우 연기가 최고에요.,1
17999532,초반부터 전개까지 짜임새 있고 좋습니다. 평점 무시하시고 꼭 보세요.,1
17999529,"둔촌주공아파트 재개발 전, 250여마리 남겨진 고양이들에 대한 기록.둔촌주공아파크이 사라지는 모습까지.한때 아시아 최대 크기의 단지였다는 점.상실과, 30여년의 삶과 인생이 단긴 공간이 사라진다는 것.",1
17999527,오랜만에 다시 봤는데 당시엔 몰랐는데이정재씨 정말 멋져요황정민씨 연기도 정말 넘 좋구요넘 재밌게 봤어요,1
17999523,재미있어요. 진영의 연기력에 감탄했습니다. 기대되는 배우입니다. 다른 주조연배우들의 활약도 좋았어요. 재미있고 좋은 영화 만들어주셔서 감사합니다.,1
17999521,감동적이고 잘 만든 웰메이드영홥니다,1
17999520,그냥 개좋습니다 너무 너무 좋았어요,1
17999518,기대없이 연우진 배우때문에 봤는데 나쁘지 않았음 인간중독도 약간 겹치면서.... 근데 서로에게 빠져드는 서사가 좀더 있었더라면 여배우님 발음때문에 몰입이 안돼서 그런가?,1
17999517,전형정인 미국 중심의 영웅 영화지만 봐도봐도 재밌음ㅋㅋㅋ 주연배우들의 그럴듯한 연기들 덕에 더 잘 봐진다. 난 볼때마다 과학자 데이빗이 좋더라ㅋㅋ,1
17999516,수학 영화 같지만 사실은 인생 영화. 최민식의 섬세한 연기는 덤. Q.E.D.,1
17999515,과거의 추억과 이상이 현재의 나의 현실과 이상과 부딪히더라도 우리는 나아가야 한다. 그것이 삶이니까~,1
17999510,우리나라 영화가?? 대박,1
17999508,"좋긴한데, 그래도 난 놀란표 배트맨이 더 좋다.셀리나 마스크에 제작비 좀 더 쓰지 그랬어요.",1
17999506,긴 러닝타임에도 엄청 몰입해서 봤다. 최근 본 마블 시리즈보다 훨씬 좋았다. 2021년도 개봉작중 최고. 아이맥스로 다시 관람하고픈 영화다.,1
17999505,,1
17999504,나만 재밌게 봤나...  오줌 참으면서 봄,1
17999502,분할장면의 구성과 섬세한 연출력이 빛난다,1
17999500,완벽했다. 고민도 없이 10점을!,1
17999499,,1
17999497,흥미로운 이야기 흥미로운 연출,1
17999496,진정 류승범 입덕영화입니다 ㅋㅋㅋ 한국의 짐 캐리,1
17999493,몇번을 다시봐도 재밌다!,1
17999494,대한민국 최고의 미스테리영화 중 하나,1
17999492,내 인생영화..아직도..그리움..,1
17999491,처음에 루즈하다 싶었는데보다보니 진짜 꿀잼 ㅠㅠ 꼭보세여,1
17999490,뻔하지만 기대 없이 재미 있게 봣어요.노래도 좋구,1
17999489,잼있어요 ^^ㅋㅋㅋㅋ,1
17999488,세상에 아름다움이라고 부를 수 있을 만한 것들이 이 영화안에 있다 판타지인데 마치 꼭 살아본 듯 가끔 이 영화를 봐야만하는 그런 향수병이 도질때가 있다 미야자키 하야오 히사이시 조 두분 모두 건강하게 계속 작품활동 하기만 바랄 뿐,1
17999487,님들아 다른 댓 보지 말고 걍 이것만 생각하셈 존나 재밌으니까 보세요 진도가 빨라서 하나도 안 지루하고 오랜만에 인생영화 찾았어요,1
17999486,"220318[9]야생 생존 이런 거 좋아하는데, 더군다나 실화라니, 재미있게 잘 봤습니다.",1
17999485,,1
17999484,좋았어요. 영상 속 장면들을 해석하는 재미도 있었구요. 처음 봤는데 유명한 이유가 있네요. 메타포의 작렬이 내 취향을 저격함,1
17999483,또 보고싶은 영화입니다,1
17999481,반지엔 못미치더라도 반지의 향수에 흠뻑 적셔준다,1
17999482,애들 델리고 넘 재미있게 봤어요 강추!!,1
17999480,믿고보는 산드라블록,1
17999477,잔잔하게 지어내는 소년의 성장영화,1
17999476,기대 안 하고 봤는데 기대 이상이었던 넷플 영화,1
17999475,이 섭외력 무엇?! 엄지척!,1
17999474,공포영화를 기대한 사람에겐 선물보따리. 하지만 실체는 판타지 영화.   해석 알아보라는 사람들이 많은데 정말 어린친구들이나 호러영화를 접해보지 않은 사람이 아니라면 해석은 따로 필요없음.  작품이 주려는 스토리텔링 감상 중에 충분히 이해 가능.,1
17999473,현실적인 재난영화 제니퍼로렌스 이입돼서 답답해 죽는줄????,1
17999472,,1
17999471,중간에 조금씩  눈시울이..,1
